,factor_00,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15,factor_16,factor_17,factor_18,factor_19,factor_20,factor_21,factor_22,factor_23,factor_24,factor_25,factor_26,factor_27,factor_28,factor_29,factor_30,factor_31
sh600017,0.0117557623774216,0.05717682313483667,0.0031946874455412036,0.002736444636374525,0.00024300403303432187,0.0013434996527055781,0.3421836269801793,0.000609810523156659,0.004358121342760441,0.0041473567145239015,0.0005151284559923247,0.004453480129354454,0.001596235599451928,0.002248211416197969,0.00227102824874463,0.0013006100883333307,0.017539087411045016,0.001812298511543224,0.00042291822378756285,0.004047764546365581,0.0035041906965169174,0.036103295108790755,0.003998317527330512,0.0015037716943974845,0.0014689885844382123,0.44194149592398263,0.04121168073144132,0.0005647080463915397,0.0008006160048884176,0.0012818453539242308,0.0024039672558706145,0.0012612254699532698
sh600018,0.011673854801566465,0.054884188486269574,0.002208972019718285,0.000827169041370776,0.00014542900775989785,0.000857832388233401,0.2996179834184378,0.0003965036887288359,0.0031848053879836736,0.005526802906320661,0.0003316533280935037,0.005050774483673985,0.0012093582737220659,0.0023172185196379405,0.0019015451754181164,0.001398451600741726,0.01622641559163001,0.0005724767858754716,0.0002771442141604025,0.001866079517269951,0.002992622731096513,0.050878956470087555,0.0075356509454510695,0.002175958431584347,0.0024130540527166006,0.5066344883874534,0.011607730533117451,0.0004013131520858062,0.0006027098056118769,0.0011168945678423426,0.002103992067561946,0.0010619706888123919
sh600019,0.007017661247291798,0.059944115600125476,0.0024200124327116066,0.0025153344647830594,0.00023652772142934047,0.0013264355583834954,0.18240037862464456,0.0008419539399543128,0.004626863905414606,0.006258944080049528,0.0007161826707313657,0.014526422112397653,0.0016986239765873665,0.0024552660471240384,0.0028100799214497946,0.0009974365299264543,0.01977969627066804,0.0014553292483060383,0.0005111052644692225,0.0034344880290484553,0.00557229200471779,0.04551041968910226,0.010851495758697255,0.005244307987065224,0.0021606198755504194,0.5855715270785748,0.022042638032563126,0.0008276535073209424,0.001239108976199553,0.0014269156930710152,0.0014539511561581055,0.0021262121879058863
sh600020,0.008575502727321676,0.050610918177203396,0.0028232931284445967,0.0015742820197157362,0.0002572206225334857,0.0011598199150851965,0.26494832847658106,0.000437768574254161,0.0035793954859329492,0.0052221262266534995,0.00042399498510390765,0.007604420534047821,0.0012683951567059632,0.0014354161858131519,0.0013958251539948525,0.0009952182441729357,0.021483066134362443,0.0007496487064718274,0.0004153475324177652,0.0025887403686482967,0.0024796178949734664,0.028715878598279565,0.006160495930795079,0.0026048393157789367,0.0018005070913995583,0.553415534075244,0.02246598492484978,0.0005414353840777725,0.0004360486399165348,0.001064080515998347,0.0015879792759712818,0.0011788701043771112
sh600021,0.009658978332577247,0.048935434822404845,0.005101800808916709,0.003225702659442662,0.00048008214003936894,0.0022980524316755387,0.26858470983061195,0.0013276337353535493,0.0061136308217722745,0.004660958201877203,0.001229748467799927,0.013957347184256978,0.0034510113564427806,0.004704974727005491,0.002913110568312084,0.0020097219375822682,0.024087566320489154,0.009987499315989018,0.0007329381958964664,0.005201648085886815,0.013499611067247671,0.04984357696939729,0.005183024375367537,0.0022044589327487314,0.0024802315286927543,0.4557000491875051,0.03761930779862508,0.0024354227057541045,0.003753332882727726,0.0024609442221558936,0.0030469215960270612,0.0031105725084754543
sh600022,0.01183033068947229,0.05223033888554434,0.001884560959924074,0.003195908158171647,0.0001789541642844515,0.0012789037204669175,0.40766619095839723,0.0006081643803607582,0.0038004880183943645,0.005637520665011385,0.0003610143162073413,0.006015741849954999,0.0009848612706315533,0.0013744747586812208,0.0011358302257111611,0.0008205975575492209,0.019222324925582842,0.000662485262134984,0.0005072061105450966,0.004398245923219516,0.0021580304169012904,0.04527260031764403,0.006163694807365686,0.000935921584474673,0.0009673919344892655,0.39216212022451646,0.02251964045527074,0.0007567881634109162,0.00032889053318588626,0.0012235166562181176,0.002502729697066026,0.0012145322162880536
sh600023,0.008274630179767352,0.03995726215032943,0.0021022028874923223,0.0024465820941586476,0.000496712980904188,0.0014122946914545272,0.2483916985187844,0.0006954579257463535,0.0041441894230873026,0.007079674750153541,0.0006455766175959627,0.013881061162374154,0.0017552485841843442,0.002507764324216556,0.0022446510094670203,0.0012863272144198366,0.024669042306724794,0.001053222656946341,0.0007508294298992812,0.0044800307832160565,0.004759804264835293,0.04765990749596217,0.00916233825474062,0.0031986502211572405,0.0017870822263328162,0.5310160952521291,0.026831171976625694,0.0006189564543774721,0.0012249125451021254,0.0013202052374282547,0.0022800433066368303,0.0018663754133432223
sh600025,0.006039821915341035,0.0490432657025167,0.0015406259847459164,0.0009393843834746064,0.00015637732760574255,0.00053912678534809,0.2198216499884235,0.00032211112164078857,0.002951685127892161,0.0046845653266797335,0.0003803127489677288,0.012532279991572299,0.000795361795286636,0.0027368853592217783,0.001866197130403584,0.0011458448346813338,0.028981207035067777,0.000638139184557974,0.00022151238020768032,0.002099326243717006,0.004083456796338216,0.037300559033689826,0.004684806558226798,0.0034969574507948764,0.001968791774197725,0.592233320030685,0.014682966487741292,0.00037843094444782737,0.0009350395246375856,0.0008446879883789078,0.0011348497844101233,0.0008204513397606457
sh600026,0.002904936523502362,0.01819886774255712,0.002665615518872811,0.003991136016266634,0.000176977321618748,0.001541015724505619,0.19207565883094413,0.000840452616179671,0.005362809188759779,0.002905959554354468,0.0005216264089874758,0.026261584946595348,0.00113780140223527,0.003150501380312886,0.0015932030758681495,0.005942860404019782,0.03806291107880748,0.011994221680310758,0.0005178023248314153,0.003473111729357513,0.010337955020976218,0.028649779354646302,0.0034771949889294664,0.008640640519337476,0.0014803774102377107,0.5782524667225729,0.03776026035529511,0.0008806438328143515,0.001997186653158024,0.001980946016764009,0.0016449016832913155,0.0015785954198625192
sh600027,0.0046020362237871116,0.022369889293890638,0.0018588161554151193,0.0032100466532105337,0.000669651456108983,0.0015650007784947875,0.2059668762004524,0.0011038996014546985,0.004676176275157948,0.002460605454191315,0.0005784418972609032,0.02117722235143734,0.002114740472713998,0.002456180066178685,0.002183659317641659,0.002036291502567342,0.03391873564696234,0.008976187515043917,0.00039348262777990625,0.002303936154617983,0.01078107288778937,0.030779483161958474,0.003238308149872013,0.00789490098408944,0.0016579950343642437,0.5845661808747613,0.02740158429264291,0.0006706528594379546,0.003590602725663066,0.0015754121261650537,0.0018141998308823886,0.0014077310526253884
