,factor_00,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,factor_11,factor_12,factor_13,factor_14,factor_15,factor_16,factor_17,factor_18,factor_19,factor_20,factor_21,factor_22,factor_23,factor_24,factor_25,factor_26,factor_27,factor_28,factor_29,factor_30,factor_31
sh600022,0.0002254267371223827,0.0005997362781722811,0.0002746647903199366,0.0015246177051795166,0.987500255696949,0.00010303109426806683,0.0007056594979717466,0.0017030800651478232,0.0003608437615082297,0.00022246737470076026,0.0002407146703866789,9.439944709907273e-05,0.00128781207200303,0.0003666887905004834,0.0002917531327528852,0.00035560833238542115,0.00017777275482524726,8.07661049347422e-05,0.0013588074818486325,0.0001514008743386823,0.00012078363150154986,0.00012599815969269347,0.00026627653877455375,0.000603015808380799,9.319017206793292e-05,9.805742983001869e-05,6.316942805330979e-05,0.00038287739945091223,0.00011125769607412302,0.0001960283618972568,0.00013099034905713768,0.00018286107104006452
sh600023,0.000372884694233528,0.0019108839230857187,0.0019024289750447028,0.004328346308963914,0.9649210318156909,0.0003038098681890963,0.0009866546010300881,0.0035303172357220684,0.0010975850709225425,0.002385482170375202,0.0005689728247935112,0.0005292731306946558,0.004173312499433145,0.0015243362929509099,0.0005322337586953082,0.0003174706885302576,0.0005611788374698781,0.0002844318630468617,0.0032426986407050468,0.0008806608370586795,0.0004658989419652774,0.00040830908278668873,0.000372116872828828,0.0007566737849811584,0.0008959911222643098,0.00015989536069907913,0.0002937488576558785,0.0005364746779287072,0.00028935123787092654,0.0007092395699753774,0.00027819282587969034,0.00048011991923848014
sh600025,0.0003803153485918125,0.0009535333199615131,0.0003656388796216965,0.006325876351430075,0.9667464877394348,0.00028187330974151415,0.00030344113920498846,0.007976254066878437,0.00032709502912201324,0.0011937491902915052,0.0005050279577958806,0.00046344829793499193,0.0017572393123443113,0.00041534534011886077,0.00036659505369007875,0.00023034099795620538,0.0014079153634362924,0.0005970796140947895,0.0020514788991144034,0.0017433037088950244,0.0007140499210227495,0.0002838902232227773,0.00017941047377649906,0.0005343743028761457,0.0015988920453536132,0.00032707496999047575,0.00024572762110763066,0.00013936863962415278,0.0001722189940964192,0.00057409412412909,0.0001492390902194009,0.000689632026257831
sh600026,0.00036950762811094594,0.0025515397082817555,0.0019293865063915443,0.05963575124147623,0.8860996340887147,0.0004331357078514068,0.00027090952008781657,0.0052886248450523905,0.0008345531133576357,0.0030528930999533864,0.00025961231722253935,0.00022721781331270404,0.003713424393221644,0.0006106850541967753,0.00038681170402530976,0.0005956695666233118,0.0009484920396429267,0.0009580405628962815,0.018899566969706103,0.0010818393013713391,0.0004696735229713682,0.0006244153653600054,0.0034099966960007017,0.0007088869458053806,0.0040245592301128156,0.0001523689036447254,0.00028870510576419953,0.0004090387163846521,0.00024780866782042306,0.0006609542828394137,0.0005665295094401753,0.00028977458412116574
sh600027,0.0005598026817640023,0.0016175020086642044,0.0021531765875580575,0.021549248104419046,0.9372292222910552,0.00029905601702643074,0.00025960529331290293,0.00256732087983006,0.001583289735635026,0.0029642552337052117,0.0003249419840779881,0.00020971155318847703,0.0028376030406987458,0.0016852154914474729,0.0002600144425179174,0.0003381084814234235,0.0008764941085586303,0.0003234551984117993,0.009453045829406497,0.00046990974701375854,0.0003151640313581548,0.0009400137821068906,0.0027889240320340914,0.0005363915418568867,0.0022657793748074584,0.00013052559170810476,0.0007738045270029238,0.002462373931889194,0.00019414856293881682,0.0006190495224553187,0.0011782737812760726,0.00023457925926376113
sh600028,0.00040575741356846303,0.00212335236372337,0.0005928319686281298,0.012086453795306125,0.9595798014671124,0.00038947285964733143,0.0006970751137659244,0.003956733451669103,0.0009395798000647499,0.0005339524952571336,0.0005412611729647517,0.0005352513313962138,0.0017775588752296497,0.001444479295106886,0.0008001239342411957,0.00024872291762255953,0.0005210892147904608,0.00046599690639740655,0.0030249310849513305,0.0028612381690420923,0.0010525915905990365,0.000276880485097267,0.00032246452856547053,0.0009366703638121974,0.0009970509645220252,0.0002677285255866498,0.0006147737487418942,0.0004411946284685901,0.00021016604247328644,0.0005019558839603487,0.00030868936852486607,0.0005441773454981699
sh600029,0.00040868703213142905,0.001174882411235359,0.0011615043460175447,0.003948929643598665,0.9623477804915849,0.0003324970070232474,0.0006883936390386144,0.005640263829737797,0.0013604055838515338,0.000992005052276108,0.0004657711008677943,0.00022338185334682108,0.0035603833649850195,0.0009147024134064,0.0006708002201271425,0.00041117926706119706,0.00030185185076084833,0.0007060623076656861,0.0037049298348066423,0.0014334647365923374,0.0009871153203077838,0.0008794458961631501,0.0008544657628791986,0.0007983842019325972,0.001890557567916061,0.00016613419767413302,0.00031932079280721273,0.0005951835546425654,0.00040230986047226706,0.0010546536898029403,0.0006197135326903762,0.0009848496642570822
sh600030,0.000578128343116966,0.004365583427237505,0.002947148549027299,0.008412789088446513,0.942266528055885,0.0003319466156805788,0.0007984796664705165,0.005092285519706397,0.0018023448946684873,0.001319094652389652,0.0019322150752685587,0.0005447977398656522,0.009358957141438896,0.0019220538532487284,0.0009177301413110093,0.0008943985560707245,0.001067885989760645,0.001435326546139295,0.0015247908515832215,0.000979143993435933,0.000678871727129791,0.0002751434300464709,0.0007730762160046092,0.0010417430556291124,0.0009405892216945472,0.0013994409118740661,0.00028367190415669595,0.0010442977853858397,0.0008561111706666623,0.0025242176679200114,0.0007268952599892258,0.0009643217640157862
sh600031,0.0005268359493493281,0.003888673151729067,0.0018706384576656933,0.007450833139140142,0.9559867304092733,0.00037724561545253037,0.0004154978299875913,0.0060331339186097096,0.0011999454015739698,0.0021548379985661843,0.0006754778769429632,0.00033167423620835855,0.002526346507729971,0.0004929341554584018,0.000686800695863276,0.00041127672780208447,0.0006590462057835198,0.001385739555093028,0.004330827847340302,0.0008009532155064388,0.0006640644536858743,0.0005023017903315919,0.0016580874219299772,0.0010308912389271445,0.0007172126055551277,0.00041285731637052264,0.0003057276936593619,0.0004568764412034533,0.0003372578574576386,0.0007341767867672445,0.00036404078721620064,0.0006110651974746863
sh600033,0.0002560694500146824,0.0013824661122573303,0.0002923115805787742,0.008415227872445365,0.9715778734752983,0.00012158448620081849,0.0005489998585474611,0.004010851635893117,0.0015973953654651852,0.0004552122944450646,0.0003883141232954309,0.0003845069702731178,0.002579194598209478,0.0004595152848464675,0.00035921981710198994,0.00016748141365371158,0.00017361081129782518,0.0002747766243297482,0.0015900461372931288,0.000546940912290934,0.00047584366275400054,0.0001178284332485076,0.00013483027605521483,0.0008155687385569373,0.0010521643477914826,0.00011369135852212023,0.00022259260904162022,0.00016303450240974686,0.0002187329193895456,0.0004760941094955868,0.0002196559459515764,0.0004083742649209732
